Sub_Category,Category,total_sales,total_profit,units_sold
Accessories,Technology,167380.32,41936.64,2976
Appliances,Office Supplies,107532.16,18138.01,1729
Art,Office Supplies,27118.79,6527.79,3000
Binders,Office Supplies,203412.73,30221.76,5974
Bookcases,Furniture,114880.0,-3472.56,868
Chairs,Furniture,328449.1,26590.17,2356
Copiers,Technology,149528.03,55617.82,234
Envelopes,Office Supplies,16476.4,6964.18,906
Fasteners,Office Supplies,3024.28,949.52,914
Furnishings,Furniture,91705.16,13059.14,3563
Labels,Office Supplies,12486.31,5546.25,1400
Machines,Technology,189238.63,3384.76,440
Paper,Office Supplies,78479.21,34053.57,5178
Phones,Technology,330007.05,44515.73,3289
Storage,Office Supplies,223843.61,21278.83,3158
Supplies,Office Supplies,46673.54,-1189.1,647
Tables,Furniture,206965.53,-17725.48,1241
